Catalog Number,Product Description,Fisher Stated Sales,Fisher Stated List Price,Fisher Stated Qty (SU + AU),Wisconsin Cost,Nebraska Cost,Penn State Cost,Wisconsin Quantity,Nebraska Quantity,Penn State Quantity,Wisconsin Average Cost Per Item,Nebraska Average Cost Per Item,Penn State Average Cost Per Item,Total Cost,Total Quantity
10101115,SEROLOGICAL PIPET5ML 200/CS,7424.12,144.5,227.0,6666.72,276.8,0.0,204,8,0.0,32.68,34.6,0.0,6943.52,212
1012610,FLASK W/VENT 70ML 25CM 100/CS,3380.6,263.5,41.0,932.33,199.78,72.29,11,2,1,84.76,99.89,72.29,1204.4,14
1012611,FLSK W/VENT STR NCK 250ML100CS,4233.53,494,22.0,2105.33,1047.41,0.0,9,7,0.0,233.93,149.63,0.0,3152.74,16
1012613,FLSK W/VENT 750ML 175CM 40/CS,8041.84,329,95.0,4380.86,0.0,0.0,54,0.0,0.0,81.13,0.0,0.0,4380.86,54
101261C,TISSUE CULT FLASK 50ML 200/CS,4441.58,450,24.0,2366.36,0.0,0.0,10,0.0,0.0,236.64,0.0,0.0,2366.36,10
1012628,FLSK 25CM W/MEMBRN CAP 200/CS,6922.44,647,38.0,3281.6,618.28,198.97,18,3,1,182.31,206.09,198.97,4098.85,22
1012632,FLASK 150CM2 CANTED NECK 50/CS,1422.69,509,8.0,0.0,1262.27,0.0,0.0,7,0.0,0.0,180.32,0.0,1262.27,7
1012634,FLSK 150CM W/MEMBRN CAP 50/CS,11247.74,497,70.0,3848.0,2921.58,0.0,26,18,0.0,148.0,162.31,0.0,6769.58,44
1012640,FRNBH CU FLSK 3LPC STR BAFB4CS,2328.33,471,9.0,2328.33,0.0,0.0,9,0.0,0.0,258.7,0.0,0.0,2328.33,9
1012661,FLASK W/VENT CAP 175CM 50/CS,2653.76,554.5,18.0,382.21,0.0,0.0,3,0.0,0.0,127.4,0.0,0.0,382.21,3
1012663,CAP FLASK VENT 225CM 5/PK,3341.53,98.6,16.0,1008.95,420.74,0.0,5,2,0.0,201.79,210.37,0.0,1429.69,7
101268,TISSU CULT FLASK 175 CM2 40/CS,2049.59,316,11.0,1047.5,110.79,423.24,5,1,2,209.5,110.79,211.62,1581.53,8
101269,FLASK W/VENT 50ML 25CM 100/CS,4910.14,253,62.0,1974.42,396.13,329.5,24,5,5,82.27,79.23,65.9,2700.05,34
101333,BOTTLE PC ULTRA 100ML PK/8,2481.64,806.5,4.0,0.0,2481.64,0.0,0.0,4,0.0,0.0,620.41,0.0,2481.64,4
101491,BOTTLE PP 1L FIBERLITE PK/2,1251.5,301,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10194100B,FLASK DEWAR 2 LITER HDPE,3337.12,675.5,13.0,814.35,234.85,847.43,3,1,3,271.45,234.85,282.48,1896.63,7
1026954,FLASK FAST FRZ COMPLETE 600ML,1856.52,512.5,6.0,0.0,661.04,0.0,0.0,2,0.0,0.0,330.52,0.0,661.04,2
1026963,FLASK FAST FREEZE COMPL 900ML,1466.24,565.5,5.0,596.72,0.0,0.0,2,0.0,0.0,298.36,0.0,0.0,596.72,2
1026963A,FLASK BOTTOM FAST FRZ 900ML,2073.3,352.5,10.0,176.49,0.0,1367.34,1,0.0,6,176.49,0.0,227.89,1543.83,7
10269826,FREEZE DRY GLASSWARE KIT,1463.46,915.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10320100,CORNING NUTATING MIXER,1742.13,349.5,7.0,1233.4,0.0,0.0,5,0.0,0.0,246.68,0.0,0.0,1233.4,5
10320171,FLASK25CMULTRA LOW ATTACHMEN,2432.61,582.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10320173,FALCON PIPETTE CONTROLLER - ST,3111.08,604,7.0,888.88,0.0,0.0,2,0.0,0.0,444.44,0.0,0.0,888.88,2
10320200,BOTTLE PET 1L IATA,12273.76,164.5,96.0,12273.76,0.0,0.0,96,0.0,0.0,127.85,0.0,0.0,12273.76,96
10320708,TIPS 1000XT NAT XLNGTH 3072/CS,1643.17,339,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10320714,TIPS 10UL NAT XLNGTH 960/PK,1838.69,63.9,27.0,613.8,377.54,0.0,8,4,0.0,76.72,94.39,0.0,991.34,12
10320715,TIPS 200UL NAT STAND 960/PK,4363.65,65.8,50.0,497.16,798.34,336.88,7,10,2,71.02,79.83,168.44,1632.38,19
10320716,TIPS 200UL YEL STAND 960/PK,1555.42,65.8,19.0,466.62,0.0,575.8,7,0.0,4,66.66,0.0,143.95,1042.42,11
10320718,TIPS 1000XT NAT XLNGTH 768/PK,4988.47,67.4,61.0,1407.65,468.82,23.78,15,6,1,93.84,78.14,23.78,1900.25,22
10320724,TIPS 10UL NAT XLNGTH 960/PK,3995.18,180.5,19.0,208.36,385.79,0.0,1,1,0.0,208.36,385.79,0.0,594.15,2
10320725,TIPS 20UL NAT STAND 960/PK,1707.21,180.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10320727,TIPS 200UL NAT HR LR 960/PK ST,4793.28,180.5,22.0,655.54,0.0,0.0,3,0.0,0.0,218.51,0.0,0.0,655.54,3
10320729,TIPS 1000XT NAT XLNGTH 768/PK,6806.32,180.5,52.0,208.36,385.79,0.0,1,1,0.0,208.36,385.79,0.0,594.15,2
10320733,TIPS 200UL NAT STAND 960/PK,1234.55,93.6,7.0,1148.23,86.32,0.0,5,2,0.0,229.65,43.16,0.0,1234.55,7
10320738,TIPS 200UL NAT STAND 960/PK,1857.68,117.7,14.0,121.22,82.96,0.0,1,1,0.0,121.22,82.96,0.0,204.18,2
10320807,VORTEX MIXER 120V 1/CSVORTEX M,1314.98,572.5,8.0,973.56,333.12,0.0,6,2,0.0,162.26,166.56,0.0,1306.68,8
10321110,NITRILE PE EXAM GLOVES L,3336.1,291.2,15.0,975.0,390.0,873.6,5,2,3,195.0,195.0,291.2,2238.6,10
10354,SNGL CYTLGY FUNL W/ CARD 50/PK,2486.67,158.7,30.0,251.49,146.86,0.0,3,2,0.0,83.83,73.43,0.0,398.35,5
104150,1-EBIO 50 MG,1449.62,411.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10451026,DISPENSER FINAL FILTER,2928.03,341,16.0,459.62,449.87,884.25,2,2,4,229.81,224.94,221.06,1793.74,8
10451028,POLISHING CARTRIDGE FOR SMART2,3491.32,670,9.0,0.0,459.4,3427.93,0.0,1,8,0.0,459.4,428.49,3887.33,9
10451031,REPLACEMENT UV LAMP,1694.52,636,4.0,0.0,424.54,420.9,0.0,1,1,0.0,424.54,420.9,845.44,2
10451034,CARTRIDGE SET FOR 6L SMART2PUR,1331.61,549,4.0,0.0,342.44,989.17,0.0,1,3,0.0,342.44,329.72,1331.61,4
10451036,DISINFECTION CARTRIDGE,4887.97,813,9.0,1650.12,1098.12,1024.43,3,2,2,550.04,549.06,512.22,3772.67,7
10462833,CYLINDERGRADSTARTER PACK 1/CS,2415.13,335.5,21.0,437.04,491.02,459.62,4,4,4,109.26,122.75,114.91,1387.68,12
1050025,1.2ML CRYOVIAL EXT THRD 100PK,2442.4,71.7,39.0,296.66,545.48,55.96,4,6,2,74.17,90.91,27.98,898.1,12
10510,DL-AP5 10 MG,2334.08,96.6,28.0,2334.08,0.0,0.0,28,0.0,0.0,83.36,0.0,0.0,2334.08,28
10524,FLASK PETG 125ML VENT 24/CS,2187.78,399,11.0,205.54,566.58,199.5,1,3,1,205.54,188.86,199.5,971.62,5
10876003,LAB ARMOR BEADS 4L,8605.29,864.5,19.0,943.36,2054.32,0.0,2,4,0.0,471.68,513.58,0.0,2997.68,6
111003931,MOBILE PHASE RESERVOIR SYSTEM,1212.84,320.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111004634,DISPOSABLE LINERS FOR VISIPREP,1687.92,105.6,18.0,1687.92,0.0,0.0,18,0.0,0.0,93.77,0.0,0.0,1687.92,18
111004852,ORBO 2000 PRECLEANED LARGE PUF,3341.5,76.8,50.0,3341.5,0.0,0.0,50,0.0,0.0,66.83,0.0,0.0,3341.5,50
111007677,HYPERSHEAR ULTRA HPLC HIGH PRE,1444.78,788.5,2.0,1444.78,0.0,0.0,2,0.0,0.0,722.39,0.0,0.0,1444.78,2
111009892,SUPELCLEAN ENVI-CARB SPE TUBE,4362.04,205,25.0,4362.04,0.0,0.0,25,0.0,0.0,174.48,0.0,0.0,4362.04,25
111020833,SUPELCLEAN ENVI-CARB SPE TUBE,3604.86,145.7,29.0,3604.86,0.0,0.0,29,0.0,0.0,124.31,0.0,0.0,3604.86,29
11120625,MCRFLO MED VOL CASS 5UL PLAS,3596.5,891,5.0,3596.5,0.0,0.0,5,0.0,0.0,719.3,0.0,0.0,3596.5,5
11120627,MCRFLO LRG VOL CASS 10UL PLAS,1451.1,891,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112080600,SPIN MODUL-RECOVERY TUBES-60E,1281.63,144.3,10.0,0.0,0.0,130.44,0.0,0.0,1,0.0,0.0,130.44,130.44,1
112080800,SPIN MODUL-RECOVERYTUBES-100E,1247.79,305.5,5.0,235.85,0.0,0.0,1,0.0,0.0,235.85,0.0,0.0,235.85,1
113906A,GLV LTX HYCL SZ 100 SM 100/PK,2585.47,731.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113906B,GLV LTX HYCL SZ 100 MD 100/PK,1185.28,731.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1139415A,FB GLV LTX PF AMBI SM 100/PK,2483.02,25.87,43.0,1231.5,346.05,506.47,19,3,8,64.82,115.35,63.31,2084.02,30
1139415B,FB GLV LTX PF AMBI MED 100/PK,4716.8,25.87,87.0,1190.82,876.62,2106.58,28,24,22,42.53,36.53,95.75,4174.02,74
1139415C,FB GLV LTX PF AMBI LG 100/PK,1758.56,25.87,45.0,132.25,309.87,897.58,1,7,15,132.25,44.27,59.84,1339.7,23
11394299,AUTOCLAVE GLV ORANGE 1PR,1185.82,67,45.0,130.52,112.26,63.12,4,3,2,32.63,37.42,31.56,305.9,9
1139541B,GLV DRY BOX NEOP 30MIL 1PR,1200.4,638.49,8.0,0.0,1200.4,0.0,0.0,8,0.0,0.0,150.05,0.0,1200.4,8
1139542A,GLV DRY BOX BUTYL 15MIL 1PR,1906.07,779.33,7.0,355.43,185.64,1365.0,1,1,5,355.43,185.64,273.0,1906.07,7
1146267B,GLV DIAMOND GRIP PF S 100/PK,4137.16,20.23,44.0,1519.39,344.3,141.6,10,10,1,151.94,34.43,141.6,2005.29,21
1146267C,GLV DIAMOND GRIP PF M 100/PK,3054.65,29.26,39.0,1666.99,253.05,0.0,16,4,0.0,104.19,63.26,0.0,1920.04,20
1146267D,GLV DIAMOND GRIP PF L 100/PK,1331.49,20.38,20.0,691.53,215.71,141.6,4,10,1,172.88,21.57,141.6,1048.84,15
11476000,RND BOTTOM MANTLE 120V 50ML,1286.51,203.5,11.0,117.11,0.0,1169.4,1,0.0,10,117.11,0.0,116.94,1286.51,11
11476001,RND BOTTOM MANTLE 120V 100ML,5110.19,227,36.0,131.44,0.0,4978.75,1,0.0,35,131.44,0.0,142.25,5110.19,36
11476004,RND BOTTOM MANTLE 120V 250ML,1919.39,240.5,13.0,478.29,0.0,1441.1,3,0.0,10,159.43,0.0,144.11,1919.39,13
11476286,ON/OFF CNTRL/LOWER MANTLE BNDL,3820,561.5,10.0,0.0,0.0,3820.0,0.0,0.0,10,0.0,0.0,382.0,3820.0,10
11476290,ON/OFF CNTRL/LOWER MANTLE BNDL,2734.48,582.5,8.0,0.0,0.0,2734.48,0.0,0.0,8,0.0,0.0,341.81,2734.48,8
114973A,STIRRER PC-210 4X5IN 120V 1/CS,1942.56,505.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114976A,USD STIRHT PLT PC220 4X5IN120V,3383.73,773.5,9.0,354.18,1906.05,1123.5,1,5,3,354.18,381.21,374.5,3383.73,9
11500150,STIRRING HOTPLT DGTAL 5X7 1/CS,15517.39,823,39.0,9776.16,0.0,395.55,24,0.0,1,407.34,0.0,395.55,10171.71,25
11500154,STIRRER DIGITAL DISPL 5X7 1/CS,21331.24,457.5,83.0,21331.24,0.0,0.0,83,0.0,0.0,257.0,0.0,0.0,21331.24,83
116540400,FASTDNA. KIT-100 PREPS,2423.92,456.5,6.0,1613.16,0.0,0.0,4,0.0,0.0,403.29,0.0,0.0,1613.16,4
1167025C,FLASK THERMO STAINLSS STEEL 1L,3152.88,630.5,8.0,1065.96,0.0,347.54,3,0.0,1,355.32,0.0,347.54,1413.5,4
116704B,THERMO-FLASK SS 2 LITER,2547.85,706.5,6.0,837.36,418.68,0.0,2,1,0.0,418.68,418.68,0.0,1256.04,3
116762,4-WHEEL CART FOR LOCATOR 4 84,1324.71,675.5,6.0,306.5,347.16,671.08,1,2,2,306.5,173.58,335.54,1324.74,5
11676341,TUBE REVOLVER 120V/US PLUG,4479.13,590,13.0,1841.05,885.3,0.0,5,2,0.0,368.21,442.65,0.0,2726.35,7
11676665,ROLLERBASE 165L 73MM,1401.07,672.5,19.0,910.66,490.5,0.0,2,4,0.0,455.33,122.62,0.0,1401.16,6
11676684,DIGITAL VORTEX MIXER,5507.59,596,21.0,0.0,1245.36,0.0,0.0,3,0.0,0.0,415.12,0.0,1245.36,3
1167824A,2IN CARDBOARD BOX 12PK,4461.79,102.7,65.0,2665.03,537.39,357.45,37,8,7,72.03,67.17,51.06,3559.87,52
1167824B,3IN CARDBOARD BOX 12PK,1918.99,123.2,23.0,1612.48,0.0,169.06,18,0.0,3,89.58,0.0,56.35,1781.54,21
1167824C,DIVIDR GRID 7/16IN100CELL 12PK,1938.3,71.5,42.0,1294.43,0.0,37.85,28,0.0,1,46.23,0.0,37.85,1332.28,29
11687203,MIDI 40 INLET FILTERS,2252.92,27.25,105.0,625.83,152.73,38.6,29,8,2,21.58,19.09,19.3,817.16,39
11715140,STERLAMP II BI INDR BX25 25/PK,1190.46,359,5.0,491.14,0.0,0.0,2,0.0,0.0,245.57,0.0,0.0,491.14,2
1181510E,JAR W/M PP 16OZ/500ML 6/PK,2276.32,111.7,21.0,1493.15,364.17,183.62,12,5,1,124.43,72.83,183.62,2040.94,18
1181510F,JAR W/M PP 32OZ/1000ML 6/PK,3149.64,158.2,25.0,1481.17,530.32,0.0,10,5,0.0,148.12,106.06,0.0,2011.49,15
1182333,JAR WM PMP 36 OZ/1000ML 4/PK,1229.52,181.9,14.0,636.3,0.0,115.46,4,0.0,2,159.07,0.0,57.73,751.76,6
1184150B,PUMP OIL VACUUM 4 LITER,4527.34,146.7,44.0,1011.97,1132.81,74.7,4,5,3,252.99,226.56,24.9,2219.48,12
1184286,MCRTB 12TUBE STRP BK 80STRP/PK,1374.65,88,5.0,1374.65,0.0,0.0,5,0.0,0.0,274.93,0.0,0.0,1374.65,5
11877184,LASER PRINTABLE LBLS 2500/PK,2514.24,423.5,9.0,2514.24,0.0,0.0,9,0.0,0.0,279.36,0.0,0.0,2514.24,9
1187751,THRML PRNTBL LBL10000PER ROLL,2783.48,688.5,7.0,2783.48,0.0,0.0,7,0.0,0.0,397.64,0.0,0.0,2783.48,7
1187769,TLS2200/TLS PC LBL 250PER ROLL,5858.82,86.4,121.0,5858.82,0.0,0.0,121,0.0,0.0,48.42,0.0,0.0,5858.82,121
118894,AUTCLV TPE BLU DISP 3/4IN 60YD,1955.84,18.75,112.0,1616.88,198.0,0.0,86,15,0.0,18.8,13.2,0.0,1814.88,101
11903,NOTEBOOK LAB 81/2X11IN PAPER,1473.18,82.8,17.0,257.62,426.75,193.78,2,3,1,128.81,142.25,193.78,878.15,6
119033,NOTEBOOK LAB A4 LINE 1/PK,1381.4,96.2,10.0,1319.19,0.0,62.21,9,0.0,1,146.58,0.0,62.21,1381.4,10
11905A,POLYPAPER LASER 8 5X11 300/CS,1800.44,948,4.0,0.0,901.34,0.0,0.0,2,0.0,0.0,450.67,0.0,901.34,2
11996,LENS PAPER 4X6 50S/BK 12BKS/PK,1568.24,83.2,86.0,812.06,451.63,97.32,41,23,3,19.81,19.64,32.44,1361.01,67
1199918,LABMAT LINER 20INX50FT ROLL,1969.11,129.4,22.0,345.36,241.91,252.77,3,5,3,115.12,48.38,84.26,840.04,11
12000103,6  X 11  XL BASE WITH ROD,2071.27,56,85.0,0.0,2043.72,27.55,0.0,84,1,0.0,24.33,27.55,2071.27,85
120011,SELF CONTED GLASSAMPOULE 10/PK,1846.19,191.3,14.0,692.52,939.39,214.28,5,7,2,138.5,134.2,107.14,1846.19,14
120012,SELF CONTED GLASSAMPOULE 50/PK,6758.3,730.5,13.0,5801.99,0.0,0.0,11,0.0,0.0,527.45,0.0,0.0,5801.99,11
12006901,FS MINICENTRIFUGE 110/120,11677.51,747,47.0,3291.34,2799.63,841.43,18,8,3,182.85,349.95,280.48,6932.4,29
1200940,VACULE W/CAP 5ML 200/CS,1685.85,425.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120097A,BOX DISP GLASS FLOOR MDL 6/PK,17655.55,167.5,372.0,11647.83,1758.6,212.57,241,36,8,48.33,48.85,26.57,13619.0,285
12009800,BIO-BIN 2.5 LITER 50/CS,1462.08,259,8.0,0.0,1462.08,0.0,0.0,8,0.0,0.0,182.76,0.0,1462.08,8
120098A,BURN-UP BIN 11GAL 6/CS,24945.58,119.5,320.0,248.6,118.08,34.2,4,3,1,62.15,39.36,34.2,400.88,8
12111000,10ULUTIPFLTLOW RETST960PK,4066.03,114.7,33.0,208.86,1822.52,544.16,1,10,2,208.86,182.25,272.08,2575.54,13
12111001,10ULXLUTIPFLTLORETST960PK,6463.52,114.5,54.0,890.74,1399.68,1266.24,12,9,4,74.23,155.52,316.56,3556.66,25
12111002,20ULUTIPFLTLOW RETST960PK,5316.3,114.7,61.0,1597.11,0.0,481.86,16,0.0,6,99.82,0.0,80.31,2078.97,22
12111003,100ULUTIPFLTLOWRETST960PK,3845.84,114.7,44.0,177.46,0.0,2007.75,4,0.0,5,44.37,0.0,401.55,2185.21,9
12111004,300ULUTIPFLTLOWRETST960PK,3871.18,114.7,28.0,1277.06,61.0,0.0,9,1,0.0,141.9,61.0,0.0,1338.06,10
12111005,1250ULUTIPFLTLOWRETST960PK,5226.86,140.6,64.0,1221.25,1009.52,324.88,18,4,1,67.85,252.38,324.88,2555.65,23
12111007,10ULXLUTIPLOW RETST960PK,1622.86,57.6,52.0,338.88,0.0,158.91,4,0.0,1,84.72,0.0,158.91,497.79,5
12111009,300ULUTIPLOW RETST960PK,1473.02,57.6,11.0,0.0,1290.33,0.0,0.0,9,0.0,0.0,143.37,0.0,1290.33,9
12111010,1250ULUTIPLOW RETST960PK,36323.77,64.2,171.0,605.16,293.42,221.35,6,3,1,100.86,97.81,221.35,1119.93,10
12111013,200ULUTIPLOW RETNS960PK,1238.98,51.2,14.0,730.94,0.0,141.81,9,0.0,1,81.22,0.0,141.81,872.75,10
12111018,200ULRELOADLOWRETST960PK,1211.8,48.2,10.0,142.28,0.0,0.0,1,0.0,0.0,142.28,0.0,0.0,142.28,1
12111021,10ULRELOADLOWRETNS960PK,2732.98,41.85,31.0,1774.69,621.9,134.45,23,5,1,77.16,124.38,134.45,2531.04,29
12111023,200ULRELOADLOWRETNS960PK,4794.41,41.85,69.0,2234.12,82.28,284.27,27,4,5,82.75,20.57,56.85,2600.67,36
12111025,1250ULRELOADLOWRETNS960PK,3603.68,51.1,51.0,1760.02,731.46,0.0,26,9,0.0,67.69,81.27,0.0,2491.48,35
12111119,2uL UTIP RACK UNIV F-ST 960PK,1503.75,114.8,20.0,907.82,0.0,65.39,9,0.0,1,100.87,0.0,65.39,973.21,10
12111126,200L FILTER TIP ST UNIV B,4709,114.7,49.0,591.88,1286.97,0.0,6,5,0.0,98.65,257.39,0.0,1878.85,11
12111130,250L UNIV CLEANPAK RELOAD,1222.49,41,18.0,807.08,176.6,238.87,10,1,7,80.71,176.6,34.12,1222.55,18
12111132,1000L FILTR TIP STUNIV960PK,4181.78,140.6,46.0,620.92,544.45,0.0,6,2,0.0,103.49,272.23,0.0,1165.37,8
12111133,1000L STERILE UNIV BIOTIX,4300.23,71,33.0,905.61,216.39,868.48,13,1,8,69.66,216.39,108.56,1990.48,22
12111136,1000L UNIV CLEANPAK RELOAD,1767.4,46.8,22.0,1350.05,314.24,103.11,19,2,1,71.06,157.12,103.11,1767.4,22
12111362,200UL XTIP4 FILTERED LTS STYL,19691.95,127.4,92.0,87.82,0.0,170.82,2,0.0,3,43.91,0.0,56.94,258.64,5
12111365,1200UL XTIP4 FILTERED LTS STY,1312,127.4,6.0,300.0,1737.0,0.0,1,5,0.0,300.0,347.4,0.0,2037.0,6
12111379,1000ULXTIP4 CLENPAK RLOAD768PK,1320,56.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12111381,20ULXTIP4 CLEANPAK  960/PK,10343.31,45.75,464.0,1356.39,0.0,0.0,15,0.0,0.0,90.43,0.0,0.0,1356.39,15
12111400,0.2-20 XTIP4FLTLOW VOL960PK,16266.01,127.4,72.0,2277.11,63.92,0.0,11,1,0.0,207.01,63.92,0.0,2341.03,12
1213101,ALUMINUM FOIL 12IN X 200FT,1263.72,64,38.0,151.47,470.51,37.96,7,10,4,21.64,47.05,9.49,659.94,21
1213102,ALUMINUM FOIL 12IN X 500FT,1579.64,142.9,33.0,374.44,875.32,71.33,8,19,1,46.8,46.07,71.33,1321.09,28
1213105,ALUMINUM FOIL 18IN X500FT ROLL,2030.48,368.5,30.0,1161.63,424.98,64.37,17,6,1,68.33,70.83,64.37,1650.98,24
12141361,PELLET PESTLE CRDLSS MTR 1/CS,4258.32,137.6,63.0,256.72,3501.71,219.47,3,53,3,85.57,66.07,73.16,3977.9,59
12141364,PELLET PSTLE ONY 1.5 ML 100/CS,4357.36,127.9,63.0,621.89,1454.57,472.8,13,19,6,47.84,76.56,78.8,2549.26,38
12141368,PELLET PSTLE W TB 1.5 ML 100CS,2693.94,157.3,33.0,654.0,526.8,320.14,7,9,4,93.43,58.53,80.03,1500.94,20
121418,TUBES CAPILLARY MP 2000/CS,1824.97,422.5,8.0,193.92,1631.05,0.0,1,7,0.0,193.92,233.01,0.0,1824.97,8
1220,EMBEDDING MOLD 12X12MM 288/CS,1566.24,337,8.0,560.8,156.52,186.91,3,1,1,186.93,156.52,186.91,904.23,5
12200134,30 ML AMBER STERILE VIAL 50/CS,5344.9,737,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12456721,PLT96WLSPHEROIDBLK5CS,2087.34,218.5,16.0,574.42,0.0,0.0,4,0.0,0.0,143.6,0.0,0.0,574.42,4
12460407,DSP BPSY PNCHPLNGR 3MM 25PK,5110.2,324,40.0,1621.47,0.0,102.62,12,0.0,1,135.12,0.0,102.62,1724.09,13
12460451,DISPOSABLE SCALPELS 10 10PK,2348.62,53.4,69.0,48.1,2042.27,148.9,2,52,10,24.05,39.27,14.89,2239.27,64
12460453,DISPOSABLE SCALPELS 15 10PK,5895.06,53.4,150.0,39.23,5855.83,0.0,1,149,0.0,39.23,39.3,0.0,5895.06,150
12460456,DISPOSABLE SCALPELS 22 10PK,1281.56,53.4,40.0,78.7,1022.0,180.86,2,26,12,39.35,39.31,15.07,1281.56,40
12500100,SHARP CONTAINER RED 5 QT,1255.57,3.06,97.0,1245.33,34.88,10.38,83,8,3,15.0,4.36,3.46,1290.59,94
125410,Y-27632 DIHYDROCHLORIDE 10 MG,14432.88,345.5,48.0,10204.32,2152.22,310.17,34,7,1,300.13,307.46,310.17,12666.71,42
125441,FF MICRO SLIDES 3X1 IN 144/GR,1742.58,105.6,23.0,1159.75,200.04,0.0,12,1,0.0,96.65,200.04,0.0,1359.79,13
125442,FF MCRO SL75X25 FR 1-SDE 144GR,16718.58,110,89.0,15345.0,47.24,396.48,75,2,1,204.6,23.62,396.48,15788.72,78
125444,FF MICRO SLIDES 75X25MM 144/GR,2442.26,105.6,32.0,626.19,196.92,433.61,13,1,3,48.17,196.92,144.54,1256.72,17
125447,FF SLID SPFRT 25X75X1MM 144/GR,4394.43,125.4,26.0,257.97,26.05,507.89,1,1,2,257.97,26.05,253.94,791.91,4
12545102P,G CVRGLS CRCLE NO1 25MM 1OZ/PK,1353.36,111.8,7.0,395.72,0.0,478.82,1,0.0,3,395.72,0.0,159.61,874.54,4
1254578,SLD POLYSINE CTD 25X75 144/PK,1309.11,115.6,8.0,0.0,376.13,37.1,0.0,1,1,0.0,376.13,37.1,413.23,2
1254580P,G CVRGLAS CRCL NO1 12MM 1OZ/PK,4117.48,294.5,38.0,699.88,876.59,87.05,8,10,1,87.48,87.66,87.05,1663.52,19
1254581P,G CVRGLS CIR NO1.5 12MM 1OZPK,3396.93,294.5,29.0,806.68,804.01,0.0,9,9,0.0,89.63,89.33,0.0,1610.69,18
125485MP,G FF COVGLS NO1 50X24MM 1OZPK,1679.77,44.35,44.0,118.15,55.01,557.6,3,1,10,39.38,55.01,55.76,730.76,14
125493,MICRO SLD 3X1 IN PLAIN 144/GR,1924.83,89,21.0,1231.07,0.0,281.59,12,0.0,2,102.59,0.0,140.79,1512.66,14
