Catalog Number, Description, 2022, 2021, 2020, 2019
F167500GPM, PIPETMAN MICRO VOLUMESTARTRPM, 567.11, , , 
HPWP04700, 0.45 EXPRESS PLUS 47MM 100/PK, 164.75, , , 
K2982900125, FUNNEL 1CS, 140.38, 140.38, , 
MAB2029MI, ANTI-CHONDROITIN SULFATE PROTE, 390.92, 388.96, , 348.0
MA123271, ANTI-RAD51 MONOCLONAL ANTIBODY, 431.43, , , 373.88
MB121041012, MSTFA, 119.08, , , 
MHPC10025, HPC SAMPLER RED 25PK, 153.35, 156.82, , 
MP210074396, L-ARGININE HCL 2.5 KG, 366.78, , , 
MT15010CV, EMEM 1X W/O GLN 6X500ML 6/CS, 118.11, 118.11, , 
MT25950CQC, DIMETHYL SULFOXIDE (DMSO), 111.51, 111.51, 114.72, 
MT35010CV, FBS USDA APPROVED 1X500ML, 609.49, 595.6, , 
MT35015CV, FBS PREMIUM CELLGRO 500ML, 786.96, 786.96, , 
MT46000CM, MOLECULAR GRADE WATER 1L 6/CS, 106.83, 98.94, 101.79, 96.94
OB403001, GOAT ANTIRABBIT IGG UNLB 1.0MG, 104.92, 109.59, , 
OB405004, GOAT ANTI RABBIT IGG AP 1.0ME, 172.71, 181.66, , 
OXSR0183E, BOLTON'S SUPPLEMENT 10/PK, 300.69, 300.69, , 
O4884100, TRIETHYLAMINE HPLC 100ML, 67.96, 67.96, , 
PA1036, ANTI-INOS, 390.82, 392.42, , 373.88
PA3900, ANTI-CALRETICULIN, 379.44, 394.38, , 373.88
PBV125, STRL PC PLAIN VNT 125 ML CS24, 106.31, 102.7, , 100.42
PD1504700, PLASTIC PETRISLIDES 100/PK, 75.04, 76.23, , 
PIA39552S, PIERCE ENDOTOXIN QUANT 30RXN, 206.77, 205.43, , 
PIA53226, PROT ASY RPD GLD BCA 250ML, 157.57, 156.57, , 
PIPA521911, ANTI-MC1-R, 385.87, , , 
PI20233, TPCK TRYPSIN 50MG/PK, 103.17, 104.71, , 
PI22662, 660NM PROTEIN ASSAY KIT, 248.74, 248.57, , 
PI23208, PRE-DILUTED PROT ASSAY ST BSA, 170.7, 170.53, , 
PI28320, SURFACT AMPS 20 10% SOLN 6/PK, 151.01, 150.59, , 
PI28324, NP40 NONIDET P 40 6/PK, 151.0, 151.58, , 
PI32020, ABC HRP STAINING STD 1/PK, 398.0, , , 
PI43243, POLYACRYLAMIDE DESALTING 5/PK, 180.5, 180.5, 156.0, 
PI62300, RESTORE FLUORESCENT, 174.45, 175.52, , 
PI88520, PVDF TRANSFER MEMBRANE, 462.09, 438.45, , 
PRA1120, WIZARD GENOMIC DNA PURIF KIT, 198.05, 201.2, , 
PRA1501, PPT TIP BARRIER .5-10UL 1/E, 207.9, 194.36, 185.1, 
PRE2693, FUGENE_ 6 TRANSFECTION REAGENT, 282.19, 289.8, , 
PRGA1110, GA1110JANELIA FLUOR(R) 549 HAL, 408.0, 381.0, , 
PRM7502, PCR MASTER MIX, 114.81, 114.34, , 
RLB00, RIL-1B QKIT 1 KT, 668.71, 640.548, , 
RTA00, RTNF-A QKIT 1 KT, 686.32, , , 
R01864, STREP SELECTIVE AGAR 100/CS, 630.88, 630.88, 649.05, 
R455052, TRYPTIC SOY BROTH 500G, 122.92, 122.92, 70.34 (matched with similar item: DF0370173), 
R54012, SHEEP BLOOD DEFIBRINTD 100ML, 120.78, 120.78, 124.26, 
R723480, ESWAB REGULAR FLOCKED 50/PK, 80.37, 80.37, 82.69, 
R8311002, RAPID ANA II SYSTEM 20PK, 301.71, 301.71, 310.4, 
SB101500, BUFFER COLRD RED PH 4.00 500ML, 17.06, 17.06, 17.55, 
SCR508, TATCRERECOMBINASE(1500 UNITS 1, 558.4, , , 
SH30026FS, HAM S F12 W L-GLUT 500ML 6PK, 68.5, , , 
SH3007003, DEFINED FBS 500ML, 1355.27, 1391.81, , 
SH30081LS, DMEM/HI GLUC W/O L-GLUT 1L 6PK, 178.24, 181.7, , 
SH3008802HI, FBS STANDARD (US)-HI, 100.54, 104.49, , 
SH300880340, FBS-500 ML IR, 368.32, , , 
SH3027202, DMEM/F12; 1000ML, 56.21, 58.03, , 
SH30278LS, HYQ SFX INSECT 1L 6PK, 190.76, 195.76, , 
SLHVR04NL, MILLEX .45 PVDF 4MM 100/PK, 187.59, 191.22, , 
SNM50005, NITRILE POWDER FREE GLOVES S, 174.46, , , 
SNM50010, NITRILE POWDER FREE GLOVES M, 174.46, , , 
SP15100, PERMOUNT FISHER 100ML, 32.48, 32.48, 31.42, 
SVC101001G, PIPETTE EASY CHECK SNGL, 24.15, 25.68, , 
SV3007901, PEN/STREP/FUNGIZONE 100ML, 22.85, 23.47, 22.94, 
S05008, DURAC THERMOMETER, 4.87, 5.18, , 
S1825S, RAT VAC 7-9 PLN PKG/1, 10.58, , , 
S2HVU02RE, STERICUPHV250MLDURAPOREPVDPK12, 96.19, 94.33, , 
S50909, INCUBATOR PLEXIGLASS DOOR 115V, 602.7, 549.29, , 
S72783, FOLDSCOPE DELUXE INDVIDUAL KIT, 26.12, , , 
TF195555, FORMA ICS 5-2/25, 227.45, 227.45, , 
TSX60086A, ULT FZ TSX60086A 115V/60HZ, 24813.24, 24175.47, , 
TSX60086AQ4, TSX60086A 115V/60HZ PM, 12473.75, , , 
T4274, TETRAHYDROFURAN OPTIMA 4L, 102.37, 102.37, 105.32, 
UFC503008, AMICON ULTRA 0.5ML 30KDA 8PK, 45.52, 45.52, , 44.18
X3F1GAL, XYLENES HISTO F-STYL POLY 1GAL, 37.37, 37.37, , 
X3S4, XYLENES HIST GRD 4L, 55.89, 46.0242, 47.35, 
ZWAAZONE1, TRAVEL ZONE 1, 285.78, 293.58, 277.98, 
ZWFL1INST, SMT INSTALLATION (FISHER), 550.22, 565.35, , 
ZWFL2INST, INSTALLATION MILLI-Q, 782.24, 804.08, , 
1213101, ALUMINUM FOIL 12IN X 200FT, 22.17, 20.31, , 
1829D, BG AUTO PE RED 25X35 200/CS, 622.65, 622.65, , 
1911461, INLAB EXPERT PRO ELCTRD, 310.43, 303.12, , 
2540H, BEAKER GRIFFIN 100ML 12/PK, 68.96, 68.96, , 
267151A, CHAMBER W/O COVER GLASSES, 295.81, 295.81, 255.59 (matched with similar item: 0267151B), 
333926B, VIAL SHELL W/CAP 1DR 144/PK, 17.28, 17.87, 17.51, 17.51
337722, SYRINGE DSP PLSTC LS 5ML 100PK, 56.7, 59.54, , 
3448253, TRUE NORTH SLIDE BOX 1/PK, 44.44, 46.29, , 
4355223, ETHANOL PURE 200PRF 1 GAL 4/CS, 135.79, 135.79, 139.7, 
4355720, ETHYL ALCHL USP200PRF GLSS 4CS, 220.42, 231.77, 617.44 (matched with similar item: 04355721), 
540319, EPTIPS FILTER 20-300UL 960/CS, 145.36, 154.56, , 
5719403, CLR BRO VL W/SPT 60ML 72/CS, 188.22, 184.43, , 
64146, BTL SQ MEDA 250 CAP GL45 10/CS, 141.65, 141.65, , 
64148, BTL SQ MEDA 1L CAO GL45 10/CS, 231.33, 231.33, 237.99, 
666251, TIMER FISHER 99M595, 21.8, 22.54, , 
6752, TUBE PET THINWALL 12ML PK/50, 286.71, 286.71, 278.79, 267.17
7000102, 96W M600PLT PS FB HB CLR 40/CS, 48.43, 47.95, , 159.67
7000164, 96WPLT PS RB ST TC CLR LD100CS, 345.68, 345.68, , 
7000372, SERO-PIPET 50ML S PLAS WP 100C, 197.79, , , 
7000634, 96W NB PLATE FB BLK CS40, 191.95, 191.95, , 
7200185, MCT CLEAR .65ML GRAD 1000/CS, 103.27, 103.27, , 
7200210, TUBE DOLPHIN 2ML BULK 1000/CS, 133.5, 133.5, , 105.45
7200288, TP PIPT 1-200UL RND 200RKX2/CS, 74.08, 74.08, , 
7200623, UV PLT 96WEL RNASEDNASE 25/PK, 500.75, 500.75, 515.18, 
7200697, PLATE 96-WL PP UBTM NS 100/CS, 243.21, 215.72567999999998, , 
720096, PLT 96-WELL V-BTM .29ML 50/CS, 265.35, 265.35, , 
7201230, CAP CELLSTCK FILLNG ACCESS 4CS, 362.92, 362.92, , 
7202155, DIGITAL WATERBATH 6 LITERS 1, 699.9, 653.88, 672.72, 
7202424, 20UL FILTERED TIP RACK STRL, 78.17, 78.17, , 
85524D, CYLINDER SGL GRAD 250ML, 70.09, 70.09, , 
8572H, CYLINDER GRAD PP 2000ML, 165.1, 159.12, , 
86425, DESICCATOR VACUUM PP/PC, 342.95, 331.27, 322.6, 
86427, DESICCATOR TRANSPARENT PC, 316.8, 306.15, 299.19, 
877232, CULT DISH SUS 100X20MM 500/CS, 292.73, 292.73, , 
87724A, CULTURE DISH 35X10MM 200/CS, 243.25, 243.25, , 186.66
88121A, STAIN DISH/COVER 20SLIDE 3/CS, 207.56, 207.56, , 
895120, DISSECTING SCISSORS 6 INCH, 18.96, 18.96, , 
9740114, SYRINGE FLTRPES0.45UM25MMS, 157.62, 135.8856, , 136.72
974036H, FLT HLD BTL TP 500ML 45MM 1/CS, 168.71, 165.17, 160.25, 155.68
9873G, GLS FIBR FILT PPR 9CM 100/PK, 111.26, 110.81, 108.94, 
10040M, FLASK ERLENMEYER 2000ML, 26.88, 26.88, 27.65, 27.77
100415B, FLSK BAF ERL TOOLRM 250ML 6/CS, 279.24, 279.24, , 
10209G, FLASK VOLUMETRIC 500ML 6/PK, 544.58, 308.45 (matched with similar item: S14294), , 
1026955B, FLASK BOTTOM FAST FRZ 1200ML, 314.77, 290.58, , 
1026988A, CRYOVIAL STERILE 1.2ML 1000/CS, 393.5, 393.5, , 
104372D, FUNNEL SEPARATORY TFE 500ML, 272.77, , , 
10451033PM, CRTRDG FOR GENPURE LABTOWER PM, 543.99, 578.41, , 
10575152, MULTI-STG REG 9200-125-296, 258.43, , , 
111009946, CERTIFIED QSERTVIAL (VIAL WITH, 146.76, , , 
11120622, MCRFLO LOW VOL CASS 1UL PLAS, 725.55, 819.87, 772.25, 
12460406, DISP BIOPSY PUNCHES 3MM 50PK, 276.55, 276.75, 261.9, 
12518100B, MICRO SLIDE PLN 75X25MM 144/PK, 51.91, 55.19, , 
12550003, SLIDE SLECTFROST WH 144/PK, 15.41, 16.05, 15.83, 15.83
12565224, DSH PETRI RIOASSY245X245 16/CS, 282.22, 272.41, 261.89, 
12565298, CRYVIAL 1.8ML RNDBTM ST 450/PK, 398.67, 385.18, , 
12565475, TAPE ALUMINUM SEALING 100/CS, 153.97, 153.97, , 
13131000, 2IN HINGED CRYOFREZE BOX WHITE, 7.9, 7.91, , 
13202631, THERMOMETER -5/15C REFRIGRATR, 39.41, 40.97, , 
13261222, 1300 A2 SS 4FT PKG 120V, 11461.16, 12186.44, , 
13261223, 1300 A2 SS 6 FT PKG 120V, 13796.54, 14669.61, , 
13451033, CASTERS W/BRAKE HM RBR, 107.6, , , 
13620185, ACCUTUPH RUGGED BULB COMBO BNC, 393.63, , , 
1367518, PIPET SEROL 10ML 500/CS, 195.7, 175.0572, , 180.91
1367610C, PIPET STER 5ML(0.1GRAD)500/CS, 64.66, 60.29, 60.29, 
1367610M, PIPET STER 25ML(0.2GRAD)200/CS, 63.57, 59.26, 59.26, 59.26
13687215, SYRINGE W/CLEANING SOLUTION, 55.33, 54.32, , 
13690083, CELL CULTURE DISH 100 MM TCT, 458.09, 487.08, , 
13698792, EPP LOBND GNOMC TUB 2ML 250/PK, 38.13, 38.13, , 35.11
1371169, CUP ORG CAP 90ML ST 400/CS, 206.36, 199.4, , 
138762, VARIABLE FLOW PUMP 115V, 271.88, 280.95, 276.7, 
13990401, EXT WARRANTY HI PERF LR/F 24O, 872.94, , , 
14135F, RUB STPR 1 HOLE NO4 APPX 35PK, 159.04, 154.36, , 
14222281, CAP FLAT PCR 8 STRP CLR 1250CS, 283.52, 283.52, , 274.57
14223164, AXY MAG DYECLEAN KIT-5ML 1/CS, 286.52, 286.52, 294.77, 
14387161, MTRX TALLTIP S/F 1250UL 960CS, 268.95, 268.95, 234.57, 
14387179, MATRIX STD TIP 1250UL NS 960CS, 165.25, 175.71, , 
14387197, MATRIX 384 NS 125UL 3840/CS, 642.96, 683.65, , 
14488055, CLIPTIP 100 RLD 768/PK, 67.83, 67.83, 69.78, 
1449024, BIOLOGICAL INDICATOR BX 100/PK, 696.86, 660.81, , 
14558317, VIVAFLOW 200 HYDROSART 30K, 426.74, 439.4, 452.06, 
14559479, BIOHITTIPREFIL 10-1000UL PK960, 43.05, , , 
145634789, PIPET 5ML STR IND WRAP CS500, 100.31, , , 
146355D, STOPCOCK GREASE HIGH VAC 5.3OZ, 69.94, 61.2, 59.89, 
1480939, RACK UNWIRE TST TUBE YEL 16MM, 49.53, 47.56, , 
14815284, SYRINGE 1750RNR 500UL, 73.42, 76.51, , 
14823221, SYR PP 10CC LL STR RX 100PK, 93.18, 99.08, 98.94, 
1482342, BD 1ML LUER-LOK SYR 100/PK  RX, 83.7, 83.7, 86.11, 
1482771, FB SHARPS CONTAINER RECT 10GAL, 17.44, 17.44, 16.66, 
14830132, CNTNR SHRPS RD 8GAL W/CLR LID, 24.99, 27.84, , 
14830151, SHARPS COLLECTOR 5 QT 20/CS, 168.02, 168.02, , 
14910501, CHLORAPREP SNGL SWBSTCK 48/PK, 51.73, , , 
14955450, 14955460P SYR 1ML ST LS 100PK, 12.42, 13.21, 13.25, 
149566B, FB14MLTBE PS17X100S\SNP 1000CS, 109.83, 109.46, , 
149598, 14MLTBE PS\17X100\STR 1000CS, 157.27, 157.27, 161.8, 
1496128, UBE CULT DSP 15X85MM 1000/CS, 56.43, 55.21, , 
15340151, BEAD TUBE 2ML 2.4MM METAL 50PK, 136.14, 116.91, , 
1590110A, TAPE WHITE 25MMX13M 3/PK, 36.5, 37.46, 34.13, 
17200058, DET ALTR GAS 02 L19.5 H23, 317.56, 333.21, , 
17823710, QWIKTRAK CHROME MOBILE UNIT1EA, 419.17, , , 
18001018, SPATULA PP OPAQUE 210MM 300/PK, 52.26, 48.65, , 
18602027, DEHYD ALCOHL 200PF UNDNTRD USP, 451.85, 93.36 (matched with similar item: 18602024), , 
19002711, RESP N100 W/VLV FACE SELRESP, 10.7, 7.66, 9.01, 
19021233C, LOOSE FIT FACEPC REPL LRG 10CS, 23.35, 230.61, , 
19037436, INFECON 3000 INFCT SHIP 12/PK, 324.51, 276.34, 268.38, 
19043749, PURELL HS GEL TFX REFILL 4/CS, 96.67, , , 
19043926, PURELL ES8 STAND ONLY -SILVER, 333.05, , , 
19072339, 1870 HC RESPSURG MASK N95 CS, 550.5, , , 
20548141, SAVANT CHEMICAL TRAP ASSY, 581.22, , , 
2124, THERMO FLASK, 750.32, 731.64, 713.28, 
21343, TIP MLA 1250UL STCK RK 600/PK, 86.22, 82.16, , 
21385103, REAGENT RES IND 25ML 100/CS, 157.76, 157.76, 146.36, 
21402552, PURE SOFTFITL 20 CLR ST 960/PK, 191.18, , , 
21571R, MRS 2365 1 MG, 402.04, 387.93, , 
220101132, FRZR BX 2IN 9X9 1-2ML VL 96/CS, 190.33, 179.02, , 
22026291, MICRO SLIDE WHT SYSMEX 1440/CS, 409.43, , , 
22032600, PURE ETHANOL 190 PROOF, 184.63, 193.72, , 
22040062, VACU MULTI SAMP 20X1 100PK  RX, 8.52, 7.84404, 7.87, 
22046337, CNTNR PR-FLL STS PF 480ML 27CS, 104.31, , , 
22050218, COVER GLASS NO1 22X22 10 OZ/CS, 207.86, 214.21, , 
22130025, BOX IATA-B AMB SHIP MED 16/CS, 127.08, , , 
22158128, NATTROL HSV1/2 POS CTL 6X.25ML, 223.22, 227.37, , 
22158370, NAT SARSCOV2 PS ERC RUO 6X.5ML, 333.0, , , 
22158371, NTRL SARSCOV2 STOCK RUO 1ML/EA, 790.01, , , 
22261541, SPOON PP 2CC 144/CS, 142.17, , , 
22363600, FB LP 10UL FLX LTYL IWP 250/CS, 84.67, 68.58, 68.77, 
23028047, BACTEC PEDS 50/PK, 711.95, , , 
23043070, SOFIA FLU AB TEST KIT 25TST/PK, 580.76, 580.76, 597.49, 
23043088, SOFA 2 FLU AB STRT KT1X25PK RX, 342.59, , , 
23043151, SARSANTGN FIA NAS SW 25T/PK RX, 626.78, 850.5, , 
23600982, UTM-RT TRANS MEDIA3ML 300CSRX, 611.31, , , 
23610055, VITROS RGNT DHDL SLD 90/PK, 267.3, 275.94, , 
309310, DORSOMORPHIN DIHYDROCHL 10 MG, 236.09, 236.35, , 
403ML050, RMIL-3 50 UG, 818.45, 799.0, , 
45000143, PROTEIN A-SEPHAROSE CL-4B 1.5G, 585.06, 569.51, , 527.15
45001748, PERCOLL 250ML, 264.33, 254.0, 223.65, 
45004003, PTP 0.45UM 300MMX4M 1/PK, 282.42, 282.42, 290.56, 
5991040, CYTOFUNNEL SGL WHT CARD 50/CS, 136.93, 140.81, , 
60046511, 2-PROPANOL CHROMASOLV 2.5LT, 553.43, 588.45, , 
60048224, ACETONITRILE .1% FA LCMS 4X4L, 682.97, 602.65, , 
6070500U, PLADIENOLIDE B 500 UG, 394.99, , , 
6776214, SLIDE COLORFROSTPLUS WH 144/CS, 68.63, 70.28, , 64.7
88861051, TUBE ROVOLVER US PLUG, 234.97, 234.97, 233.56, 
AAA104350B, L-CYSTEINE 98+% 1KG, 335.99, 327.92, 316.11, 
AAA1081606, RUTHNM(IV) OXID ANHYD 99.9% 5G, 195.67, 191.65, 181.89, 
AAA1540236, 1 8-OCTANEDIOL 98+% 500G, 399.98, 384.76, 375.58, 
AAA1689318, DMSO-D6 99.5% (ISOTOPIC) 50G, 146.37, 129.42, 124.79, 
AAJ1792414, KANAMYCIN SFAT THERMO SCIE 25G, 170.39, 157.32, , 
AAJ19943K2, PARAFORMALDEHYDE SOL 4% IN 1L, 63.29, 62.83, 60.9, 
AAJ20015A1, PEPSIN 1:1K0 FRM PORCINE S 1KG, 783.5, , , 
AAJ6040022, OXONIC ACID POTASSIUM SLT 100G, 293.94, 293.98, , 
AAJ61726MD, XTT SODIUM SALT 250MG, 254.38, 245.72, 240.04, 
AAJ6360622, DEXTRAN SFAT SOD SLT MW 0 100G, 203.52, 198.5, , 
AAJ75889K8, PBS 10X SOL PH 7.4 MOLECULR 5L, 137.67, 120.87, , 
AAWP04700, FILTER 47MM AAWP 100/PK, 141.92, 144.22, , 
AA00616FI, YTTM FL .64MMTHK 99.5% 50X50MM, 528.22, 515.93, 506.75, 
AA0071906, PLAT SHT 2.4MM/DWN 99.9% 5G, 824.8, 813.25, , 
AA10350G5, TANT WIRE 1.0MMDIA AN 99.95 5M, 276.66, 265.84, , 
AA10957BW, PLAT WIRE .5MMDIA 99.997 50CM, 497.51, 506.31, , 
AA1098622, LITHIUM FLUORIDE 99.98% 100G, 292.66, , , 
AA1107130, ANTMNY SHT 1-3MM 99.9999 250G, 740.57, 712.68, , 
AA1445414, BARM XTLN DENDR SLD 99.9% 25G, 934.48, 838.61, 819.8, 
AA1446630, POTASSIUM CHLORIDE 99.95% 250G, 721.37, 695.06, 684.7, 
AA1454030, LITHIUM CHLORIDE 99.9% 250G, 637.24, 614.41, 599.44, 
AA1464014, ANTMNY PWR -200MSH 99.999% 25G, 259.55, 255.39, 246.16, 
AA1464106, GOLD PWR -60 MESH 99.99% 5G, 736.58, , , 
AA22927M6, ACETONITRIL HPLC 99.7+MI 4X4L, 889.63, , , 
AA35967KT, HI FORM NCKL CRUCBL CAP 62 1EA, 63.1, , , 
AA36480K7, DIMETHYL SULFOXIDE ACS 4L, 201.37, , , 
AA3651748, DIMETHL SULFOXID-D6 99. 10X1G, 50.1, 48.45, , 
AA42896KJ, TITNM PLT 6.35MMTHK A 99.7 5PC, 567.89, 554.41, , 
AA433689M, PRFRMLDHYD AQ S 10X10ML 10/PK, 69.21, 66.02, 71.7, 
AA4398618, GERM PCS 2MM DWN 99.999% 50G, 582.53, 613.54, , 
AA4444118, MANGANESE(II) OXIDE 99.99% 50G, 390.22, , , 
AA46488A1, DIAIONR HP20 SYNTHC ADSOR 1KG, 145.66, 141.66, 141.84, 
AB0264, PCR8STRP THRM TUBE NAT 250CS, 172.91, 172.91, 177.89, 
AB0266, PCR8STRP TUBE CAP NAT 250PC, 225.07, 225.07, , 232.6
AB0558, PCR ADHESIVE SEALS 100EA, 130.48, 130.48, 134.24, 134.85
AB0559, HEAT SEALNG FOIL PP PLTS 100CS, 101.74, 98.41, , 91.94
AB0564, 1.2ML STORAGE PLT IND NAT 50CS, 314.57, 307.55, , 
AB0566, DEEPWEL MAT CAPS PIERCBL 50/CS, 209.49, 204.93, 202.52, 188.09
AB0600, .2ML RKN PT PP N-SKRT NAT 25EA, 89.29, 89.29, , 92.28
AB0600L, 0.2ML PCR PLATE BLK LTRD 25CS, 113.02, 113.02, , 
AB0620, PCR TUBE FLTCAP.2ML NAT 1000CS, 77.94, 77.94, 80.19, 80.55
AB0626, ADHSV FL SEAL PCR MICRPT 100EA, 142.18, 142.18, , 
AB0661, 2.2ML 96 DEEP W PLT NAT 50CS, 363.22, 355.53, , 
AB0700, PCR96WL LWPRO RKN PLT NAT 25CS, 81.45, 81.45, 83.8, 84.18
AB0757, EASY PIERCE HEAT SEAL 100/CS, 126.19, , , 100.79
AB0765, 0.8ML V-BTM DP W INDV WRP 50CS, 250.29, 245.11, 231.88, 210.17
AB0787, 1.2ML STORAGE PLT NAT 50CS, 333.87, , , 
AB0800, 96WL.2ML SKRT PT PP NAT 25CS, 89.29, 89.29, , 92.28
AB0800W, 96WL.2ML SKRT PT PP WHT 25EA, 134.75, 134.04, , 
AB0812, CLCSR HCST SCSL FILM 100/CS, 178.48, , , 
AB0859, 0.8ML DW PLATE V-BTM NAT 50CS, 250.26, 244.18, 231.85, 210.14
AB1127, 96WL LOW PRFL STORAGE PT 50CS, 339.31, 332.13, 313.74, 285.19
AB1170, ADHESIVE QPCR FILM 50EA, 101.69, 101.69, 104.62, 105.09
AB1182, 8-STRPS TUBES W/FLT CAPS 250CS, 216.87, 216.87, 223.12, 224.13
AB1400L, 96 DTCN PLT W/BLK LET 25/CS, 100.64, 100.64, 103.54, 104.01
AB1453B, VERSO CDNA SYN RT KIT, 383.4, 381.75, 356.58, 
AB152MI, ANTI-TYROSINE HYDROXYLASE ANTI, 417.99, 410.07, 385.11, 361.18
AB1542MI, ANTI-TYROSINE HYDROXYLASE ANTI, 417.99, 409.11, 385.11 (matched with similar item: AB152MI), 361.18 (matched with similar item: AB152MI)
AB1565MI, ANTI-VASOPRESSIN ANTIBODY, 324.86, , , 
AB2000, EASYSTRIP PLUS TB STRIP FL CAP, 292.78, 278.58, 286.61, 
AB5895MI, ANTI-P2X3 RECEPTOR ANTIBODY P, 402.17, 399.19, , 
AB5905MI, ANTI-VESICULAR GLUTAMATE TRANS, 451.69, 442.13, , 
AC104985000, L(+)-ARABINOSE 99+% 500GR, 609.24, 609.24, , 
